"","cowID","tag","ID","Group","Lactation","DIM_levels","Breed","AGEy","TimeINFeeding","TimeINCubic"
"2",1362,"0024E211",2417169,"G2","2","Late","RDC",3,31591,38821
"16",1306,"0024FA52",2423378,"G2","2","Late","RDC",4,36359,39840
"30",1283,"0024FA54",2423380,"G2","3+","Late","HOL",4,29202,48451
"44",980,"00250596",2426262,"G2","2","Late","CROSS",4,29183,43756
"58",1338,"0025059E",2426270,"G2","2","Late","HOL",4,21023,60235
"72",1135,"002505B2",2426290,"G2","3+","Late","CROSS",6,35733,42705
"86",1497,"00250619",2426393,"G2","1","Mid","HOL",2,37818,42350
"100",1164,"00250A35",2427445,"G2","3+","Mid","RDC",5,38470,39176
"114",1275,"00250A42",2427458,"G2","3+","Late","RDC",4,44689,28673
"128",1439,"00250A49",2427465,"G2","1","Late","HOL",3,32322,39583
"142",1045,"00250AAA",2427562,"G2","3+","Late","HOL",7,18599,43143
"156",1141,"0024E213",2417171,"G2","3+","Late","CROSS",6,42545,39224
"170",1238,"00250AAD",2427565,"G2","2","Late","HOL",5,13742,64987
"184",892,"00250ACF",2427599,"G2","3+","Late","CROSS",6,18964,55750
"198",1466,"00250AD8",2427608,"G2","1","Late","CROSS",2,46026,30809
"212",972,"00250ADE",2427614,"G2","2","Late","CROSS",4,27742,49641
"226",974,"00250AE0",2427616,"G2","2","Late","CROSS",4,34306,40900
"240",1483,"00250B4E",2427726,"G2","1","Mid","CROSS",2,32568,37058
"254",3902,"00250B50",2427728,"G2","3+","Late","HOL",9,32745,42292
"268",962,"00250B51",2427729,"G2","2","Late","CROSS",4,23035,47351
"282",979,"00250B59",2427737,"G2","2","Late","CROSS",4,31070,45289
"296",1469,"00250BE6",2427878,"G2","1","Late","HOL",2,39652,39456
"310",1481,"0024E217",2417175,"G2","1","Late","HOL",2,27458,43743
"324",976,"00250BEB",2427883,"G2","2","Late","CROSS",4,19662,59179
"338",1294,"00250C01",2427905,"G2","2","Late","CROSS",4,34059,42953
"352",607,"00250C8C",2428044,"G2","3+","Late","HOL",5,36596,39056
"366",945,"00250C98",2428056,"G2","3+","Late","CROSS",5,29505,48606
"380",1235,"00250C9E",2428062,"G2","3+","Late","CROSS",5,27667,51893
"394",1253,"00250CB0",2428080,"G2","3+","Mid","CROSS",5,33515,42487
"408",1376,"00250CBB",2428091,"G2","2","Mid","CROSS",3,34082,29686
"422",1452,"00250CBE",2428094,"G2","1","Late","CROSS",3,28579,44839
"436",1312,"00250D10",2428176,"G2","2","Late","CROSS",4,24300,47000
"450",1484,"00250D76",2428278,"G2","1","Mid","RDC",2,37912,38503
"464",1268,"0024E22B",2417195,"G2","3+","Mid","RDC",4,25735,53740
"478",934,"00250D83",2428291,"G2","3+","Late","CROSS",5,36488,39908
"492",1496,"00250D95",2428309,"G2","1","Mid","RDC",2,37746,43135
"506",1066,"00250D96",2428310,"G2","3+","Mid","RDC",6,31525,49039
"520",1389,"00250D9B",2428315,"G2","2","Mid","CROSS",3,35657,35683
"534",1460,"00250DA3",2428323,"G2","1","Late","RDC",3,25923,48862
"548",1375,"00250DBC",2428348,"G2","2","Late","CROSS",3,27731,46645
"562",1390,"00250DE2",2428386,"G2","2","Late","RDC",3,23119,55563
"576",1323,"00250DEE",2428398,"G2","2","Late","RDC",4,26121,48204
"590",1342,"00250F25",2428709,"G2","2","Late","CROSS",4,36430,41908
"604",1470,"00250F27",2428711,"G2","1","Late","RDC",2,29256,50921
"618",1468,"0024EE68",2420328,"G2","1","Late","HOL",2,35787,45134
"632",1067,"00250F28",2428712,"G2","3+","Late","RDC",6,22625,58630
"646",1143,"00250F2A",2428714,"G2","3+","Late","CROSS",6,41282,34837
"660",1503,"00250F3C",2428732,"G2","1","Mid","HOL",2,31941,46528
"674",1473,"00250F43",2428739,"G2","1","Late","CROSS",2,43366,36523
"688",987,"00250F68",2428776,"G2","2","Late","CROSS",4,31139,43345
"702",1495,"00250F77",2428791,"G2","1","Mid","HOL",2,41779,39196
"716",1334,"00250F7C",2428796,"G2","2","Late","RDC",4,35602,29504
"730",1277,"00250FBF",2428863,"G2","3+","Late","CROSS",4,25586,46418
"744",1477,"00250FC3",2428867,"G2","1","Late","HOL",2,30826,51214
"758",1358,"00250FCD",2428877,"G2","2","Late","HOL",3,41127,34880
"772",1320,"0024F405",2421765,"G2","2","Late","HOL",4,33828,40033
"786",1295,"00250FDB",2428891,"G2","3+","Mid","RDC",4,22816,46307
"800",876,"00250FDD",2428893,"G2","3+","Late","CROSS",6,28465,47402
"814",1010,"00250FDE",2428894,"G2","3+","Late","RDC",8,19760,53456
"828",1404,"00250FE6",2428902,"G2","1","Late","RDC",3,23116,20374
"842",1492,"00250FE8",2428904,"G2","1","Mid","RDC",2,39291,39563
"856",1322,"00251003",2428931,"G2","2","Late","HOL",4,35649,37612
"870",1004,"00251BC0",2431936,"G2","3+","Late","RDC",8,27338,50498
"884",1368,"00251BD2",2431954,"G2","2","Late","CROSS",3,29349,46604
"898",1467,"00251C59",2432089,"G2","1","Late","HOL",2,35199,37819
"912",1479,"00251C62",2432098,"G2","1","Late","CROSS",2,39471,35203
"926",4053,"0024F40D",2421773,"G2","3+","Late","CROSS",8,41532,36283
"940",1087,"00251C98",2432152,"G2","3+","Mid","RDC",6,23035,44559
"954",903,"00251EA2",2432674,"G2","3+","Late","CROSS",6,39172,35352
"968",1122,"00251EA8",2432680,"G2","3+","Late","CROSS",6,32607,39179
"982",1258,"0025205F",2433119,"G2","2","Late","RDC",5,30864,44882
"996",1372,"00252063",2433123,"G2","2","Late","CROSS",3,35737,39633
"1010",1044,"0025206C",2433132,"G2","3+","Late","HOL",7,34070,38788
"1024",1297,"00252076",2433142,"G2","3+","Mid","RDC",4,33135,37608
"1038",1464,"0024F437",2421815,"G2","1","Late","CROSS",2,36507,45117
"1052",1373,"0024FA30",2423344,"G2","2","Late","CROSS",3,33905,41001
"21",1519,"0024E209",2417161,"G1","1","Early","CROSS",2,48104,33985
"161",1401,"0024F46D",2421869,"G1","2","Mid","HOL",3,35060,39809
"301",1505,"0024F472",2421874,"G1","1","Mid","HOL",2,31838,45362
"441",914,"0024FA35",2423349,"G1","3+","Mid","CROSS",6,52125,28498
"581",1513,"0024FA38",2423352,"G1","1","Mid","CROSS",2,40323,36860
"721",871,"0024FA43",2423363,"G1","3+","Late","CROSS",7,26915,47499
"861",1395,"00250561",2426209,"G1","2","Late","CROSS",3,31991,44145
"1001",1267,"00250572",2426226,"G1","3+","Mid","HOL",4,31315,44696
"1141",1316,"00250584",2426244,"G1","3+","Early","CROSS",4,35079,37649
"1281",1426,"00250588",2426248,"G1","2","Mid","RDC",3,23998,50361
"1421",1371,"0025058A",2426250,"G1","2","Mid","HOL",3,34942,41410
"1561",1076,"0024E278",2417272,"G1","3+","Mid","CROSS",6,35607,37589
"1701",1293,"0025058D",2426253,"G1","3+","Mid","RDC",4,30683,47537
"1841",2558,"0025059B",2426267,"G1","1","Mid","HOL",2,32032,42046
"1981",1301,"0025059F",2426271,"G1","3+","Mid","CROSS",4,36224,33626
"2121",1405,"00250A33",2427443,"G1","2","Mid","RDC",3,29327,47599
"2261",1402,"00250A94",2427540,"G1","2","Mid","CROSS",3,28120,46861
"2401",1062,"00250AA3",2427555,"G1","3+","Early","CROSS",7,30104,44453
"2541",1498,"00250AA7",2427559,"G1","1","Mid","RDC",2,57245,19901
"2681",1430,"00250AAC",2427564,"G1","2","Early","HOL",3,43524,35478
"2821",1213,"00250AAF",2427567,"G1","3+","Mid","CROSS",5,34570,41528
"2961",1499,"00250ABC",2427580,"G1","1","Mid","RDC",2,38384,29665
"3101",1384,"0024EEFC",2420476,"G1","2","Mid","RDC",3,32642,43686
"3241",1400,"00250ACA",2427594,"G1","2","Early","RDC",3,31569,40153
"3381",1269,"00250ACB",2427595,"G1","3+","Mid","HOL",4,34716,46174
"3521",1414,"00250ADC",2427612,"G1","2","Early","RDC",3,47942,32352
"3661",1215,"00250B37",2427703,"G1","3+","Mid","RDC",5,26363,51376
"3801",1502,"00250B4D",2427725,"G1","1","Mid","HOL",2,33051,48392
"3941",1064,"00250BC9",2427849,"G1","3+","Mid","RDC",7,47194,31723
"4081",1447,"00250BFA",2427898,"G1","2","Early","CROSS",3,30780,32564
"4221",1482,"00250C36",2427958,"G1","1","Mid","HOL",2,39577,38328
"4361",1514,"00250C83",2428035,"G1","1","Mid","HOL",2,31162,49706
"4501",1506,"00250CA7",2428071,"G1","1","Mid","HOL",2,31367,47034
"4641",1406,"0024F41C",2421788,"G1","2","Mid","CROSS",3,34229,28857
"4781",2550,"00250CA8",2428072,"G1","1","Mid","HOL",2,34342,46758
"4921",1315,"00250D81",2428289,"G1","3+","Early","CROSS",4,39000,40989
"5061",985,"00250DAB",2428331,"G1","3+","Early","CROSS",4,29194,36988
"5201",659,"00250DCC",2428364,"G1","3+","Mid","HOL",4,32154,44297
"5341",1410,"00250DE1",2428385,"G1","2","Mid","CROSS",3,32285,40018
"5481",1167,"00250F00",2428672,"G1","3+","Mid","CROSS",5,37846,36968
"5621",1504,"00250F14",2428692,"G1","1","Mid","CROSS",2,45359,32013
"5761",1494,"00250F22",2428706,"G1","1","Mid","RDC",2,41574,36090
"5901",1508,"00250F34",2428724,"G1","1","Mid","HOL",2,39957,41894
"6041",1429,"00250F46",2428742,"G1","2","Mid","CROSS",3,36652,36176
"6181",819,"0024F425",2421797,"G1","3+","Mid","CROSS",8,22193,50902
"6321",1227,"00250F48",2428744,"G1","3+","Mid","RDC",5,35073,40233
"6461",911,"00250F49",2428745,"G1","3+","Mid","CROSS",6,30171,44627
"6601",771,"00250F4B",2428747,"G1","3+","Mid","CROSS",9,23181,55826
"6741",1081,"00250F5C",2428764,"G1","3+","Mid","CROSS",6,27608,49947
"6881",1233,"00250F6E",2428782,"G1","3+","Late","CROSS",5,23236,49167
"7021",1396,"00250F74",2428788,"G1","2","Mid","RDC",3,46344,32103
"7161",1329,"00250F75",2428789,"G1","3+","Early","RDC",4,35059,38337
"7301",850,"00250F79",2428793,"G1","3+","Mid","CROSS",7,34787,40542
"7441",1199,"00250FBD",2428861,"G1","3+","Early","RDC",5,28724,23435
"7581",1487,"00250FC1",2428865,"G1","1","Mid","RDC",2,43994,31557
"7721",1300,"0024F42C",2421804,"G1","3+","Early","CROSS",4,40986,33627
"7861",1321,"00250FCC",2428876,"G1","3+","Early","CROSS",4,46938,26262
"8001",1349,"00250FCF",2428879,"G1","2","Late","HOL",4,26556,39000
"8141",977,"00250FD0",2428880,"G1","2","Mid","CROSS",4,27348,45659
"8281",1433,"00250FD5",2428885,"G1","2","Early","HOL",3,43546,35252
"8421",2269,"00250FE9",2428905,"G1","3+","Mid","HOL",4,29419,44217
"8561",1335,"00250FEA",2428906,"G1","3+","Early","CROSS",4,44016,35183
"8701",1038,"00251BE7",2431975,"G1","3+","Early","HOL",7,27670,51132
"8841",2561,"00251C0D",2432013,"G1","1","Mid","HOL",2,38414,36552
"8981",841,"00251C19",2432025,"G1","3+","Mid","CROSS",7,31013,44758
"9121",1512,"00251C21",2432033,"G1","1","Mid","RDC",2,20686,57852
"9261",1424,"0024F444",2421828,"G1","2","Mid","HOL",3,34988,28367
"9401",1313,"00251C81",2432129,"G1","3+","Mid","CROSS",4,33015,39990
"9541",1343,"00251E8C",2432652,"G1","3+","Early","RDC",4,28275,46298
"9681",1310,"00251E90",2432656,"G1","3+","Mid","CROSS",4,22809,51171
"9821",1510,"00251E94",2432660,"G1","1","Mid","CROSS",2,47996,32532
"9961",1511,"0024F44A",2421834,"G1","1","Mid","RDC",2,33510,43693
"10101",1501,"0024F465",2421861,"G1","1","Mid","HOL",2,40426,40138
